,inode,id,datetime,computer_name,source_name,filename_type,filename_security,filename_application,filename_system,filename_rdp,filename_powershell,filename_other,recovered,user_sid,execution_process_id,channel,event_id,audit_account_logon,audit_account_management,audit_detailed_tracking,audit_logon_logoff,audit_ds_access,audit_object_access,audit_policy_change,audit_privilege_usage,audit_system,task,keywords,keywords_audit_failure,keywords_audit_success,keywords_correlation_hint,keywords_event_log_classic,keywords_sqm,keywords_wdi_context,keywords_wdi_diagnostic,timestamp,epochtime,hour,minute
981245,59017,e6f3504c-6813-4786-b600-a47ebd081bfd,2010-11-21 03:58:31,37L4247F27-25, Service Control Manager ,System,0,0,1,0,0,0,0,None,524,System,7036,0,0,0,0,0,0,0,0,0,0,0x8080000000000000,0,0,0,1,0,0,0,2010-11-21 03:58:31,1290311911.0,3,58
981246,59017,16306da4-73f9-4cea-b212-6e218e8df1a6,2010-11-21 03:58:31,37L4247F27-25, Service Control Manager ,System,0,0,1,0,0,0,0,None,524,System,7036,0,0,0,0,0,0,0,0,0,0,0x8080000000000000,0,0,0,1,0,0,0,2010-11-21 03:58:31,1290311911.0,3,58
981247,59018,3adf8f1b-c225-43f6-a101-0c60ee153968,2010-11-21 03:58:31,37L4247F27-25, Microsoft-Windows-User Profiles Service ,Application,0,1,0,0,0,0,0,None,928,Application,1532,0,0,0,0,0,0,0,0,0,0,0x8000000000000000,0,0,0,1,0,0,0,2010-11-21 03:58:31,1290311911.0,3,58
981248,59018,7e3a4694-ff48-44a9-8425-30f979a91604,2010-11-21 03:58:31,37L4247F27-25, Microsoft-Windows-User Profiles Service ,Application,0,1,0,0,0,0,0,None,928,Application,1532,0,0,0,0,0,0,0,0,0,0,0x8000000000000000,0,0,0,1,0,0,0,2010-11-21 03:58:31,1290311911.0,3,58
981249,59017,0ddb2600-2862-466b-85a1-04a41f36bfe5,2010-11-21 03:58:31,37L4247F27-25, Service Control Manager ,System,0,0,1,0,0,0,0,None,524,System,7036,0,0,0,0,0,0,0,0,0,0,0x8080000000000000,0,0,0,1,0,0,0,2010-11-21 03:58:31,1290311911.0,3,58
981250,59017,713a90c6-e953-443d-b7a2-b1510c89417d,2010-11-21 03:58:31,37L4247F27-25, Service Control Manager ,System,0,0,1,0,0,0,0,None,524,System,7036,0,0,0,0,0,0,0,0,0,0,0x8080000000000000,0,0,0,1,0,0,0,2010-11-21 03:58:31,1290311911.0,3,58
981251,59017,01ae31ab-5f2b-468f-9b4c-829e648576ab,2010-11-21 03:58:31,37L4247F27-25, Service Control Manager ,System,0,0,1,0,0,0,0,None,524,System,7036,0,0,0,0,0,0,0,0,0,0,0x8080000000000000,0,0,0,1,0,0,0,2010-11-21 03:58:31,1290311911.0,3,58
981252,59017,65a07e00-33a5-4d3d-b23b-26c8d926d511,2010-11-21 03:58:31,37L4247F27-25, Microsoft-Windows-Dhcp-Client ,System,0,0,1,0,0,0,0,None,812,System,50037,0,0,0,0,0,0,0,0,0,4,0x2000000000000000,0,1,0,0,0,0,0,2010-11-21 03:58:31,1290311911.0,3,58
981253,59017,3f540d04-fa2d-4612-92ad-d8f8749eab65,2010-11-21 03:58:31,37L4247F27-25, Microsoft-Windows-DHCPv6-Client ,System,0,0,1,0,0,0,0,None,812,System,51047,0,0,0,0,0,0,0,0,0,4,0x2000000000000000,0,1,0,0,0,0,0,2010-11-21 03:58:31,1290311911.0,3,58
981254,59017,25836465-d819-4f82-86ca-fe0440d4eb25,2010-11-21 03:58:31,37L4247F27-25, Microsoft-Windows-DHCPv6-Client ,System,0,0,1,0,0,0,0,None,812,System,51047,0,0,0,0,0,0,0,0,0,4,0x2000000000000000,0,1,0,0,0,0,0,2010-11-21 03:58:31,1290311911.0,3,58
981255,59017,1bf14b5a-01e5-4a69-8017-9215fbb1b2a1,2010-11-21 03:58:31,37L4247F27-25, Microsoft-Windows-Dhcp-Client ,System,0,0,1,0,0,0,0,None,812,System,50037,0,0,0,0,0,0,0,0,0,4,0x2000000000000000,0,1,0,0,0,0,0,2010-11-21 03:58:31,1290311911.0,3,58
981256,59017,f6250c2b-cf18-4713-9c75-82b3df6c5280,2010-11-21 03:58:31,37L4247F27-25, Service Control Manager ,System,0,0,1,0,0,0,0,None,524,System,7036,0,0,0,0,0,0,0,0,0,0,0x8080000000000000,0,0,0,1,0,0,0,2010-11-21 03:58:31,1290311911.0,3,58
981257,59017,8df3e696-ec28-415e-9b58-58a47a9761f1,2010-11-21 03:58:31,37L4247F27-25, Service Control Manager ,System,0,0,1,0,0,0,0,None,524,System,7036,0,0,0,0,0,0,0,0,0,0,0x8080000000000000,0,0,0,1,0,0,0,2010-11-21 03:58:31,1290311911.0,3,58
981258,59017,af131679-c3db-4481-967d-12f31f8ac860,2010-11-21 03:58:31,37L4247F27-25, Service Control Manager ,System,0,0,1,0,0,0,0,None,524,System,7036,0,0,0,0,0,0,0,0,0,0,0x8080000000000000,0,0,0,1,0,0,0,2010-11-21 03:58:31,1290311911.0,3,58
981259,59017,7635df88-460e-4681-8851-ebba6113b960,2010-11-21 03:58:31,37L4247F27-25, Service Control Manager ,System,0,0,1,0,0,0,0,None,524,System,7036,0,0,0,0,0,0,0,0,0,0,0x8080000000000000,0,0,0,1,0,0,0,2010-11-21 03:58:31,1290311911.0,3,58
